what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373820440973
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373820441401
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373820446217
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373821675718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373821684470
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373821713638
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1373821713658
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373822314340
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373822316183
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373822917243
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373823523589
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373824535762
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373824553569
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373824557479
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373838226490
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373838226934
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373838635564
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373838726465
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839734271
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839739378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839758609
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1373839758647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839759981
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839797517
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373839801839
